jd_id,职位名,系统岗位id,method,映射正确?(对/错),修正岗位id,备注
bd:7398431932785445158,高级数据分析师（销售与经营分析）-抖音生活服务,pos_35,exact,,,
bd:7392874991916992795,视觉大模型算法工程师-国际电商,pos_01,exact,,,
bd:7589519601126983941,数据分析师-飞书,pos_35,exact,,,
bd:7508591404118690066,3D/动作-多模态大模型算法工程师-抖音V-AI-筋斗云人才计划,pos_01,exact,,,
bd:7515342746141346055,智能对话大模型算法工程师-广告业务-筋斗云人才计划,pos_01,exact,,,
bd:7507539231465638152,大模型算法工程师（推荐大模型）-剪映-筋斗云人才计划（北京/深圳）,pos_01,exact,,,
bd:7508785227227498759,推荐大模型算法工程师-生活服务-筋斗云人才计划（北京/上海/成都）,pos_01,exact,,,
bd:7640003367049169205,AI数据分析师（AI垂直场景）-集团信息系统,pos_35,exact,,,
bd:7532771362139769096,推荐大模型算法工程师-抖音,pos_01,exact,,,
bd:7533461633680738568,大模型算法工程师-技术风险,pos_01,exact,,,
bd:7668296211509709109,游戏数据分析师 - 深圳射击项目,pos_35,exact,,,
bd:7539978901369293063,推荐大模型算法工程师-Seed,pos_01,exact,,,
ali:100018480008,数据技术及产品部-多模态大模型算法工程师-杭州/北京,pos_01,exact,,,
bd:7537895749070407954,数据分析师（LATAM）-TikTok直播,pos_35,exact,,,
bd:7633291585450428725,大模型算法工程师（智能对话）-国际电商,pos_01,exact,,,
bd:7521640453302323464,大模型平台运营（市场品牌&内容方向）-火山方舟,pos_01,alias,,,
bd:7483355760459286791,大语言模型算法研究实习生-豆包大模型（Top Seed Intern）,pos_01,alias,,,
tx:2077293039302393856,微信小店-高级风控算法工程师,pos_01,alias,,,
gh-jobs:4182769007,"ML Engineer, LLM",pos_01,alias,,,
tx:1716341356432990208,数据挖掘算法工程师（游戏AI）,pos_01,alias,,,
vivo:M1871385705032249346,图像算法专家（多模态大模型及Agent研发方向）,pos_01,alias,,,
xhs:16563,大数据开发工程师-搜广推（特征&索引&样本）,pos_11,alias,,,
